idx,transformer_model,n_neighbors,n_components,min_dist,min_cluster_size,cluster_selection_method,ngram_range,coherence,topic_diversity,silhouette_score,n_topics,n_outlier_pubs
170,BAAI/bge-large-en-v1.5,13,7,0.1,9,eom,"(1, 4)",0.789574501,1,0.10942396,3,10
171,BAAI/bge-large-en-v1.5,20,5,0,10,eom,"(1, 4)",0.789489672,0.966666667,0.10986,3,7
172,BAAI/bge-large-en-v1.5,15,17,0,20,eom,"(1, 3)",0.789477546,1,0.10737344,3,6
173,BAAI/bge-large-en-v1.5,9,17,0.1,8,eom,"(1, 4)",0.789421205,0.9,-0.016657654,4,1
174,BAAI/bge-large-en-v1.5,13,15,0,9,eom,"(1, 4)",0.788666726,0.966666667,0.107805885,3,7
175,BAAI/bge-large-en-v1.5,13,15,0,15,eom,"(1, 4)",0.788316736,0.966666667,0.10733896,3,7
176,BAAI/bge-large-en-v1.5,13,15,0,13,eom,"(1, 4)",0.788316736,0.966666667,0.10733896,3,7
177,BAAI/bge-large-en-v1.5,13,15,0,10,eom,"(1, 4)",0.788316736,0.966666667,0.10733896,3,7
178,BAAI/bge-large-en-v1.5,15,9,0.1,8,eom,"(1, 3)",0.788016277,0.833333333,0.03715504,6,27
179,BAAI/bge-large-en-v1.5,13,15,0,5,eom,"(1, 2)",0.787811512,0.94,0.033208635,5,2
180,BAAI/bge-large-en-v1.5,17,13,0,17,eom,"(1, 4)",0.78761446,0.966666667,0.10841187,3,7
181,BAAI/bge-large-en-v1.5,13,15,0.1,6,eom,"(1, 4)",0.787420988,0.95,-0.016677884,4,4
182,BAAI/bge-large-en-v1.5,9,7,0.1,8,eom,"(1, 4)",0.787420988,0.95,-0.016677884,4,4
183,BAAI/bge-large-en-v1.5,13,15,0.1,7,eom,"(1, 4)",0.787420988,0.95,-0.016677884,4,4
184,BAAI/bge-large-en-v1.5,15,15,0.05,7,eom,"(1, 4)",0.786590301,0.8,0.041373577,7,16
185,BAAI/bge-large-en-v1.5,13,5,0,17,eom,"(1, 4)",0.78650711,1,0.11135349,3,21
186,BAAI/bge-large-en-v1.5,13,5,0,10,eom,"(1, 4)",0.78650711,1,0.11135349,3,21
187,BAAI/bge-large-en-v1.5,15,9,0.05,8,eom,"(1, 4)",0.785976459,0.755555556,0.04564898,9,75
188,BAAI/bge-large-en-v1.5,15,7,0.05,8,eom,"(1, 4)",0.785903738,0.84,0.033842042,5,4
189,BAAI/bge-large-en-v1.5,15,20,0,8,eom,"(1, 3)",0.785879952,0.9,0.04705935,6,34
190,BAAI/bge-large-en-v1.5,17,7,0,13,eom,"(1, 4)",0.785604835,1,0.110759415,3,12
191,BAAI/bge-large-en-v1.5,20,17,0.1,8,eom,"(1, 3)",0.78497489,0.828571429,0.058313645,7,73
192,BAAI/bge-large-en-v1.5,13,7,0.1,5,eom,"(1, 3)",0.784484471,0.88,0.033084884,5,3
193,BAAI/bge-large-en-v1.5,9,9,0,8,eom,"(1, 3)",0.784484471,0.88,0.033084884,5,3
194,BAAI/bge-large-en-v1.5,15,15,0.05,8,eom,"(1, 3)",0.784128917,0.785714286,0.041468617,7,18
195,BAAI/bge-large-en-v1.5,13,20,0.05,13,eom,"(1, 4)",0.784095152,1,0.10929411,3,14
196,BAAI/bge-large-en-v1.5,13,20,0.05,20,eom,"(1, 4)",0.784095152,1,0.10947876,3,15
197,BAAI/bge-large-en-v1.5,13,20,0.05,15,eom,"(1, 4)",0.784095152,1,0.10929411,3,14
198,BAAI/bge-large-en-v1.5,13,20,0.05,17,eom,"(1, 4)",0.784095152,1,0.10947876,3,15
199,BAAI/bge-large-en-v1.5,9,5,0.1,10,eom,"(1, 4)",0.784095152,1,0.10947876,3,15
200,BAAI/bge-large-en-v1.5,13,17,0.05,13,eom,"(1, 4)",0.784082646,1,0.10941305,3,14
201,BAAI/bge-large-en-v1.5,15,20,0,8,eom,"(1, 4)",0.783660791,0.9,0.04705935,6,34
202,BAAI/bge-large-en-v1.5,9,20,0.05,8,eom,"(1, 3)",0.783537323,0.814285714,0.039869443,7,15
203,BAAI/bge-large-en-v1.5,15,20,0.05,10,eom,"(1, 4)",0.7832123,1,0.11092578,3,14
204,BAAI/bge-large-en-v1.5,15,17,0.05,5,eom,"(1, 2)",0.782977371,0.92,0.0328832,5,1
205,BAAI/bge-large-en-v1.5,13,9,0.05,13,eom,"(1, 4)",0.782791799,1,0.108935155,3,17
206,BAAI/bge-large-en-v1.5,13,20,0.05,9,eom,"(1, 4)",0.782559763,1,0.108528055,3,8
207,BAAI/bge-large-en-v1.5,13,20,0,9,eom,"(1, 2)",0.782372497,1,0.10728004,3,3
208,BAAI/bge-large-en-v1.5,5,15,0.05,8,eom,"(1, 3)",0.782104988,0.866666667,0.030848753,6,4
209,BAAI/bge-large-en-v1.5,5,15,0,8,eom,"(1, 3)",0.782104988,0.866666667,0.030848753,6,4
210,BAAI/bge-large-en-v1.5,5,15,0.05,7,eom,"(1, 3)",0.782104988,0.866666667,0.030848753,6,4
211,BAAI/bge-large-en-v1.5,15,9,0.1,7,eom,"(1, 4)",0.7820352,0.75,0.046113115,10,61
212,BAAI/bge-large-en-v1.5,20,15,0,10,eom,"(1, 3)",0.781869257,1,0.11181102,3,14
213,BAAI/bge-large-en-v1.5,13,5,0.05,9,eom,"(1, 4)",0.781838368,0.966666667,0.10979036,3,15
214,BAAI/bge-large-en-v1.5,13,15,0.1,8,eom,"(1, 4)",0.78147867,0.75,0.0650617,10,104
215,BAAI/bge-large-en-v1.5,15,5,0.1,9,eom,"(1, 4)",0.78142245,0.966666667,0.11097493,3,11
216,BAAI/bge-large-en-v1.5,15,7,0.05,15,eom,"(1, 4)",0.781396145,1,0.11070954,3,18
217,BAAI/bge-large-en-v1.5,13,13,0,9,eom,"(1, 3)",0.781389428,0.975,0.058270585,4,11
218,BAAI/bge-large-en-v1.5,15,9,0.05,7,eom,"(1, 4)",0.78082552,0.74,0.045801222,10,59
219,BAAI/bge-large-en-v1.5,15,7,0.1,8,eom,"(1, 4)",0.780717643,0.77,0.05196054,10,89
220,BAAI/bge-large-en-v1.5,5,9,0,15,eom,"(1, 4)",0.780372827,1,0.10322425,3,9
221,BAAI/bge-large-en-v1.5,5,9,0,17,eom,"(1, 4)",0.780372827,1,0.10322425,3,9
